"Source Name",Keyword,"Keyword Regular Expression","Keyword Preview","Modified Time","Access Time","Change Time","File Path"
"LIVE-Extinct-Lupus-ntfs-ascii.txt",direwolf,DireWolf,"n? sea 
ascii ====> «direwolf« 0900 <==== ntfs tro","2018-07-24 23:15:14 CEST","2018-07-25 20:03:08 CEST","2018-07-25 20:03:08 CEST","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/LIVE-Extinct-Lupus-ntfs-ascii.txt"
"Unalloc_2086_7992320_499999744",direwolf,DireWolf,"s lake 
ascii ====> «direwolf« 0897 <==== fat bay","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","/img_ss-win-07-25-18.dd/vol_vol4/$Unalloc/Unalloc_2086_7992320_499999744"
"DELETED-Extinct-Lupus-fat-ascii.txt",direwolf,DireWolf,"s lake 
ascii ====> «direwolf« 0897 <==== fat bay","2018-07-24 17:15:14 CEST","2018-07-25 00:00:00 CEST","0000-00-00 00:00:00","/img_ss-win-07-25-18.dd/vol_vol4/fat/DELETED-Extinct-Lupus-fat-ascii.txt"
"DELETED-Extinct-Lupus-ntfs-ascii.txt",direwolf,DireWolf,"k
bass 
ascii ====> «direwolf« 0901 <==== ntfs har","2018-07-24 23:15:14 CEST","2018-07-25 20:03:04 CEST","2018-07-25 20:03:04 CEST","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/DELETED-Extinct-Lupus-ntfs-ascii.txt"
"Unalloc_2088_1000634368_1499999232",direwolf,DireWolf,"bass. 
ascii ====> «direwolf« 0899 <==== exfat oc","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","/img_ss-win-07-25-18.dd/vol_vol6/$Unalloc/Unalloc_2088_1000634368_1499999232"
"LIVE-Extinct-Lupus-exfat-ascii.txt",direwolf,DireWolf,", carp 
ascii ====> «direwolf« 0898 <==== exfat ba","2018-07-24 17:15:14 CEST","2018-07-25 14:03:36 CEST","0000-00-00 00:00:00","/img_ss-win-07-25-18.dd/vol_vol6/exfat/LIVE-Extinct-Lupus-exfat-ascii.txt"
"Unalloc_2090_1500142592_1999997952",direwolf,DireWolf,"k
bass 
ascii ====> «direwolf« 0901 <==== ntfs har","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","/img_ss-win-07-25-18.dd/vol_vol7/$Unalloc/Unalloc_2090_1500142592_1999997952"
"Unalloc_508_499999744_999999488",direwolf,DireWolf,"squid 
ascii ====> «direwolf« 0902 <==== unalloc","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","/img_ss-win-07-25-18.dd/vol_vol5/Unalloc_508_499999744_999999488"
"LIVE-Extinct-Lupus-fat-ascii.txt",direwolf,DireWolf,". sea. 
ascii ====> «direwolf« 0896 <==== fat rive","2018-07-24 17:15:14 CEST","2018-07-25 00:00:00 CEST","0000-00-00 00:00:00","/img_ss-win-07-25-18.dd/vol_vol4/fat/LIVE-Extinct-Lupus-fat-ascii.txt"
"DELETED-Extinct-Lupus-exfat-ascii.txt",direwolf,DireWolf,"bass. 
ascii ====> «direwolf« 0899 <==== exfat oc","2018-07-24 17:15:14 CEST","2018-07-25 14:03:32 CEST","0000-00-00 00:00:00","/img_ss-win-07-25-18.dd/vol_vol6/exfat/DELETED-Extinct-Lupus-exfat-ascii.txt"
